Date,Close/Last,Volume,Open,High,Low
11/06/2019,81.37,12253190,81.25,81.38,80.90
11/05/2019,81.32,14923910,81.30,81.68,81.085
11/04/2019,81.15,15294170,80.66,81.18,80.66
11/01/2019,80.22,19657950,79.06,80.22,79.01
10/31/2019,78.51,10693180,79.12,79.12,78.11
10/30/2019,79.36,9208262,79.23,79.43,78.795
10/29/2019,79.08,10429210,78.50,79.29,78.4044
10/28/2019,78.82,8138157,78.77,79.23,78.76
10/25/2019,78.60,7718550,78.09,78.78,78.05
10/24/2019,78.11,8414560,78.13,78.215,77.55
10/23/2019,78.00,7390190,77.98,78.05,77.67
10/22/2019,78.01,11366750,77.49,78.24,77.20
10/21/2019,77.40,8428064,77.23,77.57,77.11
10/18/2019,76.94,9694811,77.44,77.60,76.86
10/17/2019,77.61,7978942,77.67,78.19,77.54
10/16/2019,77.23,8797300,77.13,77.62,77.09
10/15/2019,77.27,8985775,76.79,77.57,76.63
10/14/2019,76.65,4863349,76.65,76.87,76.405
10/11/2019,76.80,16252270,76.38,77.48,76.18
10/10/2019,75.38,9322265,74.55,75.65,74.55
10/09/2019,74.70,6271933,74.68,75.00,74.275
10/08/2019,74.07,11582450,74.47,74.87,74.02
10/07/2019,75.23,7305680,75.38,75.87,75.07
10/04/2019,75.61,9178987,74.88,75.70,74.80
10/03/2019,74.83,16635180,74.17,74.85,73.18
10/02/2019,74.34,12499800,75.12,75.13,73.79
10/01/2019,75.77,15975630,77.91,78.24,75.695
09/30/2019,77.63,6225132,77.61,77.89,77.61
09/27/2019,77.52,10226850,78.09,78.18,77.155
09/26/2019,77.83,9600984,77.85,78.085,77.42
09/25/2019,77.72,10003010,77.34,77.87,77.07
09/24/2019,77.22,11885630,78.00,78.19,76.83
09/23/2019,77.66,14480280,77.50,77.94,77.22
09/20/2019,77.81,10493360,78.39,78.66,77.59
09/19/2019,78.72,5076787,79.09,79.345,78.68
09/18/2019,79.12,8089653,78.78,79.155,78.24
09/17/2019,79.24,6250776,79.09,79.31,78.67
09/16/2019,79.28,8011684,79.12,79.41,78.94
09/13/2019,79.35,9357681,79.28,79.79,79.25
09/12/2019,78.92,18667740,79.09,79.30,78.565
09/11/2019,78.87,14262630,78.30,78.9157,77.88
09/10/2019,78.14,9487356,77.23,78.16,76.955
09/09/2019,77.43,8080968,77.38,77.78,77.245
09/06/2019,77.20,6940300,77.33,77.46,76.97
09/05/2019,77.04,14267050,76.59,77.60,76.54
09/04/2019,75.68,9265735,75.33,75.76,74.73
09/03/2019,74.73,12787100,75.04,75.8003,74.26
08/30/2019,75.76,7500225,75.95,76.26,75.605
08/29/2019,75.45,10651040,75.00,75.62,74.70
08/28/2019,74.18,11921310,73.08,74.18,72.77
08/27/2019,73.28,9943314,74.05,74.085,73.105
08/26/2019,73.66,14041870,73.97,74.09,73.02
08/23/2019,73.12,26477620,74.66,75.215,72.77
08/22/2019,75.13,7692406,75.23,75.54,74.565
08/21/2019,75.02,5399205,75.13,75.35,74.90
08/20/2019,74.56,4695401,74.86,75.025,74.50
08/19/2019,75.00,4260525,75.18,75.32,74.87
08/16/2019,74.30,9575517,73.49,74.45,73.41
08/15/2019,72.89,11981830,73.09,73.10,72.19
